video_index,video_name,behavior,frame,time_sec,agg_cv,max_cv,top3_cv,max_seg,avg_body_size_px,midback_offset_ratio,midback_offset_jitter
2,7月3日 (2)(1),scratch,16,0.533,0.004187419401625028,0.007372585590928793,0.006703111343085766,Nose-Chest,757.6463623046875,0.19971361756324768,0.0075425636023283005
2,7月3日 (2)(1),scratch,18,0.6,0.0036671412213204,0.008657650090754032,0.006310124881565571,RHKnee-RHPaw,757.86669921875,0.2001478224992752,0.008220626041293144
2,7月3日 (2)(1),scratch,20,0.667,0.003435876247329781,0.009404664859175682,0.006335556196669738,RHKnee-RHPaw,758.2059936523438,0.20053718984127045,0.007042655721306801
2,7月3日 (2)(1),scratch,22,0.733,0.003403177592330254,0.009378692135214806,0.0064810098459323244,RHKnee-RHPaw,758.5882568359375,0.20088393986225128,0.005334595218300819
2,7月3日 (2)(1),scratch,24,0.8,0.0032893201569095254,0.009113030508160591,0.006407477737714847,RHKnee-RHPaw,759.1578979492188,0.20117050409317017,0.0033394410274922848
2,7月3日 (2)(1),scratch,26,0.867,0.0034503947155406843,0.008359694853425026,0.006602318026125431,RHKnee-RHPaw,759.2847900390625,0.20124219357967377,0.002810716861858964
2,7月3日 (2)(1),scratch,28,0.933,0.004303333134605334,0.011044846847653389,0.008959037096550068,RHKnee-RHPaw,759.484375,0.20128434896469116,0.0029757937882095575
2,7月3日 (2)(1),scratch,30,1.0,0.007089494530541392,0.020642517134547234,0.015035524033010006,RHKnee-RHPaw,759.0345458984375,0.2010393738746643,0.0042769270949065685
2,7月3日 (2)(1),scratch,32,1.067,0.009201030103633037,0.020347442477941513,0.018100872946282227,RHKnee-RHPaw,757.2073364257812,0.2011357843875885,0.004871603101491928
2,7月3日 (2)(1),scratch,34,1.133,0.011854414290820178,0.022651102393865585,0.020360688368479412,Hip-LHKnee,754.4552001953125,0.2011657953262329,0.005149486940354109
2,7月3日 (2)(1),scratch,36,1.2,0.019325185388040084,0.038750194013118744,0.032543341939647995,RHKnee-RHPaw,748.12158203125,0.19927582144737244,0.027716657146811485
2,7月3日 (2)(1),scratch,38,1.267,0.03089216437477332,0.061742302030324936,0.05616014947493871,Chest-MBack,740.042236328125,0.19548630714416504,0.0588446781039238
2,7月3日 (2)(1),scratch,40,1.333,0.050103367592852846,0.1240333765745163,0.10530908902486165,LHKnee-LHPaw,731.4342651367188,0.1860741227865219,0.1373586356639862
2,7月3日 (2)(1),scratch,42,1.4,0.05447004191004313,0.1448778510093689,0.121223879357179,LHKnee-LHPaw,722.427734375,0.1763744056224823,0.1812915951013565
2,7月3日 (2)(1),scratch,44,1.467,0.05950218338805895,0.16966129839420319,0.13489815344413122,LHKnee-LHPaw,709.9882202148438,0.16737163066864014,0.20239324867725372
2,7月3日 (2)(1),scratch,46,1.533,0.06663680327339815,0.17114992439746857,0.13647183030843735,LHKnee-LHPaw,697.0245361328125,0.15759193897247314,0.21896898746490479
2,7月3日 (2)(1),scratch,48,1.6,0.06836431960646923,0.15329909324645996,0.12687410414218903,LHKnee-LHPaw,685.9740600585938,0.1476350873708725,0.21282337605953217
2,7月3日 (2)(1),scratch,50,1.667,0.06748301535844803,0.12632088363170624,0.11993672202030818,LHKnee-LHPaw,674.9376220703125,0.13734540343284607,0.1785399168729782
2,7月3日 (2)(1),scratch,52,1.733,0.06490545605237667,0.13067075610160828,0.1061736320455869,Nose-Chest,665.436767578125,0.1288882941007614,0.12924742698669434
2,7月3日 (2)(1),scratch,54,1.8,0.05449567950115754,0.13365456461906433,0.10226219395796458,Nose-Chest,658.8050537109375,0.12199613451957703,0.04241923987865448
2,7月3日 (2)(1),scratch,56,1.867,0.04957124247000767,0.13119302690029144,0.09740661333004634,Nose-Chest,652.0582275390625,0.12155859172344208,0.03779063746333122
2,7月3日 (2)(1),scratch,58,1.933,0.04452373517247347,0.11616730690002441,0.0884025643269221,Nose-Chest,645.58251953125,0.12085038423538208,0.03995148092508316
2,7月3日 (2)(1),scratch,60,2.0,0.0413299179277741,0.09266480803489685,0.07720649987459183,Nose-Chest,641.2109375,0.11785459518432617,0.0555608756840229
2,7月3日 (2)(1),scratch,62,2.067,0.04299819376319647,0.08996795862913132,0.08401262760162354,Nose-REar,639.1436767578125,0.11373314261436462,0.10200809687376022
2,7月3日 (2)(1),scratch,64,2.133,0.042846777834571324,0.08547735959291458,0.08113770683606465,Nose-REar,636.08642578125,0.10883668065071106,0.1333315372467041
