video_index,video_name,behavior,frame,time_sec,max_cv,top3_cv,max_seg,avg_body_size_px,midback_offset_ratio
2,walk_13535868,walk,16,0.533,0.1756855547428131,0.1310447702805201,Nose-Chest,176.78233337402344,0.7288968563079834
2,walk_13535868,walk,18,0.6,0.16634778678417206,0.12423328806956609,Nose-Chest,174.67787170410156,0.7293664216995239
2,walk_13535868,walk,20,0.667,0.14060238003730774,0.10982933392127354,Nose-Chest,173.08737182617188,0.7280914783477783
2,walk_13535868,walk,22,0.733,0.1207515150308609,0.10018453747034073,Nose-Chest,171.69920349121094,0.7231016159057617
2,walk_13535868,walk,24,0.8,0.11114194244146347,0.09497981766859691,Nose-Chest,173.06149291992188,0.7093093395233154
2,walk_13535868,walk,26,0.867,0.0997527465224266,0.08709697177012761,Nose-Chest,175.8801727294922,0.6924965381622314
2,walk_13535868,walk,28,0.933,0.08436736464500427,0.07307301710049312,LFElb-LFPaw,180.97622680664062,0.6677570343017578
2,walk_13535868,walk,30,1.0,0.08640562742948532,0.06854977458715439,LFElb-LFPaw,188.0077667236328,0.6390484571456909
2,walk_13535868,walk,32,1.067,0.0850781574845314,0.07175098732113838,LFElb-LFPaw,195.91818237304688,0.6102265119552612
2,walk_13535868,walk,34,1.133,0.07489487528800964,0.06957679986953735,LFElb-LFPaw,203.9188232421875,0.5823245048522949
2,walk_13535868,walk,36,1.2,0.06706500798463821,0.064935768644015,Nose-Chest,212.20509338378906,0.5562582015991211
2,walk_13535868,walk,38,1.267,0.06973365694284439,0.06602067748705547,Nose-Chest,221.84054565429688,0.5331410765647888
2,walk_13535868,walk,40,1.333,0.08481387794017792,0.07918136318524678,Nose-Chest,233.14918518066406,0.5126665830612183
2,walk_13535868,walk,42,1.4,0.10517791658639908,0.09158946325381596,Chest-MBack,244.38729858398438,0.4945629835128784
2,walk_13535868,walk,44,1.467,0.205739364027977,0.14789682378371558,Chest-RFElb,255.03944396972656,0.4856519401073456
2,walk_13535868,walk,46,1.533,0.2128925770521164,0.15460105240345,Chest-RFElb,266.01531982421875,0.479022353887558
2,walk_13535868,walk,48,1.6,0.22378385066986084,0.15456602225701013,Chest-RFElb,276.5517272949219,0.4730207026004791
2,walk_13535868,walk,50,1.667,0.2908315062522888,0.17700903366009393,Chest-RFElb,287.8614501953125,0.46360963582992554
2,walk_13535868,walk,52,1.733,0.3359017074108124,0.21687509616216025,Chest-RFElb,299.71563720703125,0.4503077268600464
2,walk_13535868,walk,54,1.8,0.3712443709373474,0.2379564791917801,Chest-RFElb,310.08892822265625,0.43597137928009033
2,walk_13535868,walk,56,1.867,0.4148450195789337,0.24976319322983423,Chest-RFElb,317.8646240234375,0.42219552397727966
2,walk_13535868,walk,58,1.933,0.4684303104877472,0.25939150402943295,Chest-RFElb,324.5068054199219,0.40663158893585205
2,walk_13535868,walk,60,2.0,0.36721643805503845,0.21208270142475763,Chest-RFElb,328.21795654296875,0.3933491110801697
2,walk_13535868,walk,62,2.067,0.27593761682510376,0.1698493336637815,Chest-RFElb,328.3711853027344,0.3844047784805298
2,walk_13535868,walk,64,2.133,0.15977542102336884,0.12433561931053798,Chest-RFElb,328.233154296875,0.37697023153305054
2,walk_13535868,walk,66,2.2,0.26729121804237366,0.16169656564791998,Chest-RFElb,328.88458251953125,0.36929988861083984
2,walk_13535868,walk,68,2.267,0.5026687383651733,0.24039028584957123,Chest-RFElb,331.6930236816406,0.36006951332092285
2,walk_13535868,walk,70,2.333,0.6805499792098999,0.3209236760934194,Chest-RFElb,337.1578369140625,0.3457505702972412
2,walk_13535868,walk,72,2.4,0.6975607872009277,0.3560178428888321,Chest-RFElb,344.6397399902344,0.32992783188819885
2,walk_13535868,walk,74,2.467,0.6472460627555847,0.3594122777382533,Chest-RFElb,353.979736328125,0.31547144055366516
2,walk_13535868,walk,76,2.533,0.5499075651168823,0.329751913746198,Chest-RFElb,364.2319641113281,0.3020768463611603
2,walk_13535868,walk,78,2.6,0.4255370497703552,0.283321092526118,Chest-RFElb,375.67767333984375,0.2879337668418884
2,walk_13535868,walk,80,2.667,0.2953731417655945,0.2401047150293986,Chest-RFElb,385.6734619140625,0.275224506855011
2,walk_13535868,walk,82,2.733,0.22818805277347565,0.19625000655651093,RHKnee-RHPaw,393.3028869628906,0.2669066786766052
2,walk_13535868,walk,84,2.8,0.23869824409484863,0.21081267793973288,RHKnee-RHPaw,397.54705810546875,0.2632306218147278
2,walk_13535868,walk,86,2.867,0.3517073094844818,0.2633168747027715,Chest-RFElb,399.138671875,0.26403936743736267
2,walk_13535868,walk,88,2.933,0.46842145919799805,0.2998235722382863,Chest-RFElb,397.06109619140625,0.26694899797439575
2,walk_13535868,walk,90,3.0,0.5748412609100342,0.3297702968120575,Chest-RFElb,392.0228271484375,0.2721630930900574
2,walk_13535868,walk,92,3.067,0.6767893433570862,0.3510848879814148,Chest-RFElb,385.961669921875,0.2767781913280487
2,walk_13535868,walk,94,3.133,0.7479889392852783,0.35391320784886676,Chest-RFElb,377.1387634277344,0.2837502956390381
2,walk_13535868,walk,96,3.2,0.6871193051338196,0.32745376725991565,Chest-RFElb,368.1851806640625,0.2926013171672821
2,walk_13535868,walk,98,3.267,0.4930827021598816,0.268690566221873,Chest-RFElb,359.9137878417969,0.30176079273223877
2,walk_13535868,walk,100,3.333,0.5972002148628235,0.3129347264766693,Chest-RFElb,354.65765380859375,0.30661827325820923
2,walk_13535868,walk,102,3.4,0.7068197727203369,0.3443700522184372,Chest-RFElb,351.091064453125,0.3100091218948364
2,walk_13535868,walk,104,3.467,0.7200658917427063,0.36578171451886493,Chest-RFElb,351.588623046875,0.3094565272331238
2,walk_13535868,walk,106,3.533,0.6580888628959656,0.35837018489837646,Chest-RFElb,354.2467956542969,0.30646970868110657
2,walk_13535868,walk,108,3.6,0.5559446811676025,0.3274022142092387,Chest-RFElb,358.117919921875,0.30240488052368164
2,walk_13535868,walk,110,3.667,0.4339500963687897,0.28802939256032306,Chest-RFElb,365.16802978515625,0.29629361629486084
2,walk_13535868,walk,112,3.733,0.30383071303367615,0.24323798716068268,Chest-RFElb,373.6790466308594,0.28735244274139404
2,walk_13535868,walk,114,3.8,0.2207951694726944,0.18550743162631989,RHKnee-RHPaw,381.4608154296875,0.2759384512901306
2,walk_13535868,walk,116,3.867,0.22803795337677002,0.19480534394582114,RHKnee-RHPaw,386.3372802734375,0.26951685547828674
2,walk_13535868,walk,118,3.933,0.26158595085144043,0.2277227540810903,Chest-LFElb,389.3385925292969,0.2660360336303711
2,walk_13535868,walk,120,4.0,0.30093398690223694,0.24331603944301605,Chest-RFElb,389.9330139160156,0.26552486419677734
2,walk_13535868,walk,122,4.067,0.4008331894874573,0.2741386940081914,Chest-RFElb,389.1260681152344,0.2656848132610321
2,walk_13535868,walk,124,4.133,0.4784667491912842,0.28917809824148816,Chest-RFElb,386.9129638671875,0.2664143741130829
2,walk_13535868,walk,126,4.2,0.5303518772125244,0.2876809785763423,Chest-RFElb,383.7812805175781,0.2670328617095947
2,walk_13535868,walk,128,4.267,0.5203935503959656,0.268040897945563,Chest-RFElb,379.7662048339844,0.2684802711009979
2,walk_13535868,walk,130,4.333,0.4192204475402832,0.22088468074798584,Chest-RFElb,372.24609375,0.2749210000038147
2,walk_13535868,walk,132,4.4,0.24336190521717072,0.1593545824289322,Chest-RFElb,364.05767822265625,0.28267234563827515
2,walk_13535868,walk,134,4.467,0.2186305671930313,0.15725386887788773,Chest-RFElb,356.6851501464844,0.2906644642353058
2,walk_13535868,walk,136,4.533,0.35977283120155334,0.20874740680058798,Chest-RFElb,350.20086669921875,0.2971189320087433
2,walk_13535868,walk,138,4.6,0.44613415002822876,0.2542347311973572,Chest-RFElb,345.0887451171875,0.3019523620605469
2,walk_13535868,walk,140,4.667,0.4908226430416107,0.2869938512643178,Chest-RFElb,343.8363952636719,0.3009341061115265
2,walk_13535868,walk,142,4.733,0.4798892140388489,0.29936664799849194,Chest-RFElb,345.6255187988281,0.2950648069381714
2,walk_13535868,walk,144,4.8,0.42285260558128357,0.28539353609085083,Chest-RFElb,347.380615234375,0.2897089719772339
2,walk_13535868,walk,146,4.867,0.34011924266815186,0.2517957041660945,Chest-RFElb,352.661376953125,0.2822739779949188
2,walk_13535868,walk,148,4.933,0.2416389435529709,0.207056591908137,Chest-RFElb,357.7884826660156,0.2743415832519531
2,walk_13535868,walk,150,5.0,0.16491290926933289,0.1575441062450409,Chest-RFElb,362.0946044921875,0.2664278745651245
2,walk_13535868,walk,152,5.067,0.17962627112865448,0.16218560934066772,RHKnee-RHPaw,365.639892578125,0.26142311096191406
2,walk_13535868,walk,154,5.133,0.25958123803138733,0.20683779815832773,Chest-RFElb,367.0374755859375,0.2594762146472931
2,walk_13535868,walk,156,5.2,0.3645850718021393,0.2410181611776352,Chest-RFElb,364.7677307128906,0.2627186179161072
