frame_idx,motion_norm,rolling_mean_norm,is_still,detected,behavior_label
135,0.0144,0.0179,1,1,shake
136,0.0207,0.0180,1,1,shake
137,0.0237,0.0183,1,1,shake
138,0.0306,0.0190,1,1,shake
139,0.1563,0.0236,1,1,shake
140,0.0363,0.0244,1,1,shake
141,0.0365,0.0254,1,1,shake
142,0.0259,0.0258,1,1,shake
143,0.0186,0.0257,1,1,shake
144,0.0194,0.0258,1,1,shake
145,0.0195,0.0261,1,1,shake
146,0.0153,0.0262,1,1,shake
147,0.0195,0.0262,1,1,shake
148,0.0247,0.0268,1,1,shake
149,0.0191,0.0269,1,1,shake
150,0.0176,0.0271,1,1,shake
151,0.0238,0.0275,1,1,shake
152,0.0224,0.0280,1,1,shake
153,0.0211,0.0284,1,1,shake
154,0.0133,0.0283,1,1,shake
155,0.0132,0.0282,1,1,shake
156,0.0128,0.0283,1,1,shake
157,0.0118,0.0236,1,1,shake
158,0.0116,0.0237,1,1,shake
159,0.0180,0.0238,1,1,shake
160,0.0117,0.0237,1,1,shake
161,0.0169,0.0238,1,1,shake
162,0.0151,0.0237,1,1,shake
163,0.0095,0.0235,1,1,shake
164,0.0086,0.0236,1,1,shake
165,0.0108,0.0235,1,1,shake
166,0.0166,0.0233,1,1,shake
167,0.0236,0.0233,1,1,shake
168,0.0156,0.0228,1,1,shake
169,0.0242,0.0184,1,1,shake
170,0.0151,0.0177,1,1,shake
171,0.0117,0.0169,1,1,shake
172,0.0071,0.0163,1,1,shake
173,0.0196,0.0163,1,1,shake
174,0.0050,0.0158,1,1,shake
175,0.0088,0.0155,1,1,shake
176,0.0208,0.0157,1,1,shake
177,0.0172,0.0156,1,1,shake
178,0.0130,0.0152,1,1,shake
179,0.0103,0.0149,1,1,shake
180,0.0147,0.0148,1,1,shake
181,0.0314,0.0151,1,1,shake
182,0.0438,0.0158,1,1,shake
183,0.0985,0.0183,1,1,shake
184,0.1245,0.0221,1,1,shake
185,0.1456,0.0265,1,1,shake
186,0.1372,0.0306,1,1,shake
187,0.1252,0.0344,1,1,shake
188,0.4019,0.0474,1,1,shake
189,0.0825,0.0496,1,1,shake
190,0.2568,0.0577,1,1,shake
191,0.1096,0.0608,1,1,shake
192,0.1339,0.0648,1,1,shake
193,0.1265,0.0687,1,1,shake
194,0.0889,0.0714,1,1,shake
195,0.2225,0.0784,1,1,shake
196,0.0495,0.0795,1,1,shake
197,0.0433,0.0802,1,1,shake
198,0.0563,0.0815,1,1,shake
199,0.0465,0.0823,1,1,shake
200,0.0210,0.0825,1,1,shake
201,0.0337,0.0832,1,1,shake
202,0.0232,0.0837,1,1,shake
203,0.1710,0.0888,1,1,shake
204,0.0168,0.0892,1,1,shake
205,0.0176,0.0895,1,1,shake
206,0.0429,0.0902,1,1,shake
207,0.2376,0.0975,1,1,shake
208,0.1576,0.1024,1,1,shake
209,0.1739,0.1078,1,1,shake
210,0.2893,0.1170,1,1,shake
211,0.1562,0.1211,1,1,shake
212,0.1406,0.1244,1,1,shake
213,0.2651,0.1299,1,1,shake
214,0.1081,0.1294,1,1,shake
215,0.2625,0.1333,1,1,shake
216,0.0889,0.1316,1,1,shake
217,0.0768,0.1300,1,1,shake
218,0.0334,0.1177,1,1,shake
219,0.0277,0.1159,1,1,shake
220,0.0203,0.1080,1,1,shake
221,0.0251,0.1052,1,1,shake
222,0.0251,0.1016,1,1,shake
223,0.0124,0.0978,1,1,shake
224,0.0170,0.0954,1,1,shake
225,0.0195,0.0886,1,1,shake
226,0.0184,0.0876,1,1,shake
227,0.1555,0.0913,1,1,shake
228,0.0174,0.0900,1,1,shake
229,0.0315,0.0895,1,1,shake
230,0.0274,0.0897,1,1,shake
231,0.2257,0.0961,1,1,shake
232,0.1532,0.1005,1,1,shake
233,0.0183,0.0954,1,1,shake
234,0.0199,0.0955,1,1,shake
235,0.1450,0.0997,1,1,shake
236,0.2072,0.1052,1,1,shake
237,0.0434,0.0987,1,1,shake
238,0.1630,0.0989,1,1,shake
239,0.0396,0.0945,1,1,shake
240,0.0278,0.0857,1,1,shake
1,0.0000,0.0000,0,1,shake
2,0.0545,0.0000,0,1,shake
3,0.0369,0.0457,1,1,shake
4,0.0293,0.0402,1,1,shake
5,0.0402,0.0402,1,1,shake
6,0.0345,0.0391,1,1,shake
7,0.0313,0.0378,1,1,shake
8,0.0366,0.0376,1,1,shake
9,0.0408,0.0380,1,1,shake
10,0.0419,0.0384,1,1,shake
11,0.0419,0.0388,1,1,shake
12,0.0472,0.0396,1,1,shake
13,0.2104,0.0538,1,1,shake
14,0.0302,0.0520,1,1,shake
15,0.0206,0.0497,1,1,shake
16,0.0240,0.0480,1,1,shake
17,0.0217,0.0464,1,1,shake
18,0.0206,0.0449,1,1,shake
19,0.0143,0.0432,1,1,shake
20,0.0233,0.0421,1,1,shake
21,0.0185,0.0409,1,1,shake
22,0.0163,0.0398,1,1,shake
23,0.0147,0.0386,1,1,shake
24,0.0213,0.0379,1,1,shake
25,0.0185,0.0371,1,1,shake
26,0.1793,0.0428,1,1,shake
27,0.0165,0.0417,1,1,shake
28,0.0126,0.0407,1,1,shake
29,0.0143,0.0397,1,1,shake
30,0.0150,0.0389,1,1,shake
31,0.0100,0.0379,1,1,shake
32,0.0077,0.0363,1,1,shake
33,0.0242,0.0359,1,1,shake
34,0.0410,0.0363,1,1,shake
35,0.0746,0.0375,1,1,shake
36,0.0852,0.0392,1,1,shake
37,0.1898,0.0444,1,1,shake
38,0.5594,0.0619,1,1,shake
39,0.3700,0.0728,1,1,shake
40,1.2531,0.1132,1,1,shake
41,0.7792,0.1378,1,1,shake
42,0.4007,0.1496,1,1,shake
43,0.4838,0.1587,1,1,shake
44,0.5291,0.1753,1,1,shake
45,0.5619,0.1934,1,1,shake
46,0.5311,0.2103,1,1,shake
47,0.5369,0.2274,1,1,shake
48,0.4761,0.2426,1,1,shake
49,0.5600,0.2608,1,1,shake
50,0.4243,0.2742,1,1,shake
51,0.4233,0.2877,1,1,shake
52,0.6406,0.3085,0,1,shake
53,0.5927,0.3277,0,1,shake
54,0.4058,0.3406,0,1,shake
55,0.3362,0.3511,0,1,shake
56,0.5315,0.3629,0,1,shake
57,0.5788,0.3816,0,1,shake
58,0.6163,0.4018,0,1,shake
59,0.3480,0.4129,0,1,shake
60,0.1484,0.4173,0,1,shake
61,0.1525,0.4221,0,1,shake
62,0.1397,0.4265,0,1,shake
63,0.1396,0.4303,0,1,shake
64,0.2167,0.4362,0,1,shake
65,0.0889,0.4367,0,1,shake
66,0.1029,0.4372,0,1,shake
67,0.3221,0.4416,0,1,shake
68,0.0882,0.4259,0,1,shake
69,0.0766,0.4162,0,1,shake
70,0.0574,0.3763,0,1,shake
71,0.0388,0.3516,0,1,shake
72,0.0257,0.3391,0,1,shake
73,0.0193,0.3236,0,1,shake
74,0.0228,0.3068,0,1,shake
75,0.0182,0.2886,1,1,shake
76,0.1467,0.2758,1,1,shake
77,0.0313,0.2590,1,1,shake
78,0.0177,0.2437,1,1,shake
79,0.0173,0.2256,1,1,shake
80,0.0115,0.2118,1,1,shake
81,0.0169,0.1983,1,1,shake
82,0.0093,0.1772,1,1,shake
83,0.0099,0.1578,1,1,shake
84,0.0161,0.1448,1,1,shake
85,0.0112,0.1340,1,1,shake
86,0.0131,0.1167,1,1,shake
87,0.0150,0.0979,1,1,shake
88,0.0071,0.0776,1,1,shake
89,0.0160,0.0666,1,1,shake
90,0.0183,0.0622,1,1,shake
91,0.0380,0.0584,1,1,shake
92,0.0529,0.0555,1,1,shake
93,0.0627,0.0529,1,1,shake
94,0.0556,0.0476,1,1,shake
95,0.0704,0.0470,1,1,shake
96,0.0393,0.0448,1,1,shake
97,0.0264,0.0350,1,1,shake
98,0.0236,0.0328,1,1,shake
99,0.0172,0.0309,1,1,shake
100,0.0206,0.0296,1,1,shake
101,0.0210,0.0290,1,1,shake
102,0.0144,0.0287,1,1,shake
103,0.0151,0.0285,1,1,shake
104,0.0102,0.0281,1,1,shake
105,0.0284,0.0284,1,1,shake
106,0.0187,0.0242,1,1,shake
107,0.0150,0.0236,1,1,shake
108,0.0098,0.0234,1,1,shake
109,0.0168,0.0234,1,1,shake
110,0.0127,0.0234,1,1,shake
111,0.0078,0.0231,1,1,shake
112,0.0118,0.0232,1,1,shake
113,0.0212,0.0236,1,1,shake
114,0.0178,0.0236,1,1,shake
115,0.0116,0.0236,1,1,shake
116,0.0105,0.0235,1,1,shake
117,0.0195,0.0237,1,1,shake
118,0.0070,0.0237,1,1,shake
119,0.0161,0.0237,1,1,shake
120,0.0130,0.0235,1,1,shake
