frame_idx,motion_px,rolling_mean_px,is_still,detected,behavior_label
1,0.0000,0.0000,0,1,stop
2,0.0496,0.0000,0,1,stop
3,1.8475,0.9485,1,1,stop
4,1.5233,1.1401,1,1,stop
5,1.8855,1.3265,1,1,stop
6,1.6880,1.3988,1,1,stop
7,1.8230,1.4695,1,1,stop
8,1.2875,1.4435,1,1,stop
9,1.5923,1.4621,1,1,stop
10,1.3754,1.4525,1,1,stop
11,1.5091,1.4581,1,1,stop
12,2.2712,1.5320,0,1,stop
13,1.5740,1.5355,0,1,stop
14,1.8839,1.5623,0,1,stop
15,2.2596,1.6121,0,1,stop
16,2.4426,1.6675,0,1,stop
17,3.0041,1.7510,0,1,stop
18,1.9549,1.7630,0,1,stop
19,1.2399,1.7340,0,1,stop
20,1.0444,1.6977,0,1,stop
21,0.8341,1.6545,0,1,stop
22,1.0206,1.6243,0,1,stop
23,1.4297,1.6155,0,1,stop
24,2.0123,1.6327,0,1,stop
25,2.8706,1.6843,0,1,stop
26,2.4908,1.7166,0,1,stop
27,2.8459,1.7600,0,1,stop
28,2.1109,1.7730,0,1,stop
29,3.3062,1.8278,0,1,stop
30,1.7769,1.8260,0,1,stop
31,1.4759,1.8143,0,1,stop
32,2.5757,1.8985,0,1,stop
33,6.2550,2.0455,0,1,stop
34,1.5890,2.0476,0,1,stop
35,3.2505,2.0931,0,1,stop
36,3.0856,2.1397,0,1,stop
37,3.1879,2.1852,0,1,stop
38,2.3299,2.2200,0,1,stop
39,2.4959,2.2501,0,1,stop
40,1.3755,2.2501,0,1,stop
41,0.8664,2.2287,0,1,stop
42,1.0501,2.1880,0,1,stop
43,1.7575,2.1941,0,1,stop
44,1.2826,2.1740,0,1,stop
45,1.3586,2.1440,0,1,stop
46,0.9510,2.0943,0,1,stop
47,0.9422,2.0256,0,1,stop
48,0.9785,1.9930,0,1,stop
49,1.0969,1.9882,0,1,stop
50,0.8285,1.9810,0,1,stop
