frame_idx,motion_norm,rolling_mean_norm,is_still,detected,behavior_label
1,0.0000,0.0000,0,1,lick
2,0.3985,0.0000,0,1,lick
3,0.2804,0.3395,1,1,lick
4,0.8472,0.5087,0,1,lick
5,0.5697,0.5240,0,1,lick
6,0.6421,0.5476,0,1,lick
7,0.6807,0.5698,0,1,lick
8,0.5855,0.5720,0,1,lick
9,0.2837,0.5360,0,1,lick
10,0.7090,0.5552,0,1,lick
11,1.0309,0.6028,0,1,lick
12,0.4852,0.5921,0,1,lick
13,0.3564,0.5724,0,1,lick
14,0.3995,0.5591,0,1,lick
15,0.5696,0.5599,0,1,lick
16,0.7102,0.5699,0,1,lick
17,0.7310,0.5800,0,1,lick
18,0.8844,0.5979,0,1,lick
19,0.4459,0.5894,0,1,lick
20,0.1327,0.5654,0,1,lick
21,1.1785,0.5960,0,1,lick
22,0.6900,0.6005,0,1,lick
23,0.5439,0.5979,0,1,lick
24,0.3525,0.5873,0,1,lick
25,0.2861,0.5747,0,1,lick
26,0.2160,0.5604,0,1,lick
27,0.5895,0.5615,0,1,lick
28,0.6430,0.5645,0,1,lick
29,0.7689,0.5718,0,1,lick
30,0.5546,0.5712,0,1,lick
31,0.2583,0.5608,0,1,lick
32,0.2588,0.5561,0,1,lick
33,0.4659,0.5623,0,1,lick
34,0.7834,0.5602,0,1,lick
35,0.5132,0.5583,0,1,lick
36,0.3322,0.5480,0,1,lick
37,0.4650,0.5408,0,1,lick
38,0.9711,0.5536,0,1,lick
39,0.9062,0.5744,0,1,lick
40,0.3067,0.5610,0,1,lick
41,0.5498,0.5450,0,1,lick
42,0.7137,0.5526,0,1,lick
43,1.1732,0.5798,0,1,lick
44,0.3021,0.5765,0,1,lick
45,0.2153,0.5647,0,1,lick
46,0.2483,0.5493,0,1,lick
47,1.3562,0.5702,0,1,lick
48,0.5810,0.5601,0,1,lick
49,0.5896,0.5649,0,1,lick
50,0.2283,0.5680,0,1,lick
51,0.1921,0.5352,0,1,lick
52,0.1284,0.5164,0,1,lick
53,0.4832,0.5144,0,1,lick
54,0.7187,0.5266,0,1,lick
55,0.5891,0.5367,0,1,lick
56,0.3787,0.5421,0,1,lick
57,0.2260,0.5300,0,1,lick
58,0.4109,0.5223,0,1,lick
59,1.0217,0.5307,0,1,lick
60,0.7489,0.5372,0,1,lick
61,0.5849,0.5481,0,1,lick
62,0.4518,0.5545,0,1,lick
63,0.3766,0.5515,0,1,lick
64,0.4163,0.5393,0,1,lick
65,0.6116,0.5426,0,1,lick
66,0.5063,0.5484,0,1,lick
67,0.6351,0.5541,0,1,lick
68,0.4282,0.5360,0,1,lick
69,0.1651,0.5113,0,1,lick
70,0.3029,0.5111,0,1,lick
71,0.7812,0.5188,0,1,lick
72,0.4922,0.5115,0,1,lick
73,0.4600,0.4877,1,1,lick
74,0.3073,0.4879,1,1,lick
75,0.1787,0.4866,1,1,lick
76,0.2177,0.4856,1,1,lick
77,0.3007,0.4504,1,1,lick
78,0.4432,0.4458,1,1,lick
79,0.5992,0.4462,1,1,lick
80,0.3943,0.4517,1,1,lick
81,0.3249,0.4561,1,1,lick
82,0.2507,0.4602,1,1,lick
83,0.2193,0.4514,1,1,lick
84,0.5335,0.4452,1,1,lick
85,1.4792,0.4749,1,1,lick
86,1.1182,0.4996,1,1,lick
87,0.6168,0.5126,0,1,lick
88,0.9935,0.5320,0,1,lick
89,1.0534,0.5331,0,1,lick
90,0.9627,0.5402,0,1,lick
91,0.8600,0.5494,0,1,lick
92,0.4626,0.5497,0,1,lick
93,0.8294,0.5648,0,1,lick
94,0.1679,0.5565,0,1,lick
95,0.2671,0.5450,0,1,lick
96,0.2587,0.5368,0,1,lick
97,0.3059,0.5258,0,1,lick
