frame_idx,timestamp_sec,detected,body_scale_px,active_kpts,mean_kpt_conf,displacement_px,activity_value,activity_score,abnormal,behavior_id,behavior_label,gcn_confidence
0,0.000,1,0.00,17,0.9716,0.0000,0,0,0,-1,LOW CONF,0.0000
1,0.035,1,204.94,17,0.9765,13.6349,17,8,1,-1,LOW CONF,0.0000
2,0.069,1,186.83,17,0.9880,14.0605,31,16,1,-1,LOW CONF,0.0000
3,0.104,1,193.14,17,0.9900,11.1064,33,20,1,-1,LOW CONF,0.0000
4,0.138,1,205.65,17,0.9951,11.3396,33,23,1,-1,LOW CONF,0.0000
5,0.173,1,219.65,17,0.9952,14.3054,36,25,1,-1,LOW CONF,0.0000
6,0.207,1,242.47,17,0.9951,20.0066,41,27,1,-1,LOW CONF,0.0000
7,0.242,1,246.95,17,0.9937,13.7974,39,29,1,-1,LOW CONF,0.0000
8,0.276,1,259.82,17,0.9930,12.3716,35,29,1,-1,LOW CONF,0.0000
9,0.311,1,259.55,17,0.9802,12.1623,33,30,1,-1,LOW CONF,0.0000
10,0.345,1,258.23,17,0.9754,12.1413,32,30,1,-1,LOW CONF,0.0000
11,0.380,1,256.17,17,0.9916,16.3181,36,30,1,-1,LOW CONF,0.0000
12,0.414,1,269.93,17,0.9959,20.6920,41,31,1,-1,LOW CONF,0.0000
13,0.449,1,252.97,17,0.9946,10.5109,37,32,1,-1,LOW CONF,0.0000
14,0.484,1,242.19,17,0.9946,11.5515,36,32,1,-1,LOW CONF,0.0000
15,0.518,1,236.65,17,0.9925,8.8378,32,32,1,-1,LOW CONF,0.0000
16,0.553,1,235.59,17,0.9921,6.1388,26,32,1,0,WALK,0.9975
17,0.587,1,242.92,17,0.9917,8.0977,24,31,1,0,WALK,0.9975
18,0.622,0,0.00,0,0.0000,0.0000,0,30,0,0,WALK,0.9958
19,0.656,1,0.00,17,0.9935,0.0000,44,30,0,0,WALK,0.9958
20,0.691,1,266.94,17,0.9855,20.7386,33,30,1,0,WALK,0.9779
21,0.725,1,262.04,17,0.9812,12.8716,33,31,1,0,WALK,0.9779
22,0.760,1,265.83,17,0.9846,9.2016,29,30,1,0,WALK,0.9540
23,0.794,1,274.88,17,0.9810,14.4850,31,30,1,0,WALK,0.9540
24,0.829,1,265.41,17,0.9857,17.9894,37,31,1,0,WALK,0.9436
25,0.863,1,266.63,17,0.9839,14.6087,36,31,1,0,WALK,0.9436
26,0.898,1,262.59,17,0.9919,13.6522,36,31,1,-1,LOW CONF,0.7798
27,0.933,1,227.15,17,0.9956,14.4829,42,32,1,-1,LOW CONF,0.7798
28,0.967,1,245.74,17,0.9918,11.4838,35,32,1,-1,LOW CONF,0.5514
29,1.002,0,0.00,0,0.0000,0.0000,0,31,0,-1,LOW CONF,0.5514
30,1.036,0,0.00,0,0.0000,0.0000,0,30,0,-1,LOW CONF,0.5514
31,1.071,0,0.00,0,0.0000,0.0000,0,29,0,-1,LOW CONF,0.5514
32,1.105,0,0.00,0,0.0000,0.0000,0,28,0,-1,LOW CONF,0.5514
33,1.140,0,0.00,0,0.0000,0.0000,0,27,0,-1,LOW CONF,0.5514
34,1.174,0,0.00,0,0.0000,0.0000,0,26,0,-1,LOW CONF,0.5514
35,1.209,0,0.00,0,0.0000,0.0000,0,26,0,-1,LOW CONF,0.5514
36,1.243,0,0.00,0,0.0000,0.0000,0,25,0,-1,LOW CONF,0.5514
37,1.278,0,0.00,0,0.0000,0.0000,0,24,0,-1,LOW CONF,0.5514
38,1.313,0,0.00,0,0.0000,0.0000,0,24,0,-1,LOW CONF,0.5514
39,1.347,0,0.00,0,0.0000,0.0000,0,23,0,-1,LOW CONF,0.5514
40,1.382,0,0.00,0,0.0000,0.0000,0,22,0,-1,LOW CONF,0.5514
41,1.416,0,0.00,0,0.0000,0.0000,0,22,0,-1,LOW CONF,0.5514
42,1.451,0,0.00,0,0.0000,0.0000,0,21,0,-1,LOW CONF,0.5514
43,1.485,0,0.00,0,0.0000,0.0000,0,21,0,-1,LOW CONF,0.5514
44,1.520,0,0.00,0,0.0000,0.0000,0,20,0,-1,LOW CONF,0.5514
45,1.554,0,0.00,0,0.0000,0.0000,0,20,0,-1,LOW CONF,0.5514
46,1.589,0,0.00,0,0.0000,0.0000,0,20,0,-1,LOW CONF,0.5514
47,1.623,0,0.00,0,0.0000,0.0000,0,19,0,-1,LOW CONF,0.5514
48,1.658,0,0.00,0,0.0000,0.0000,0,19,0,-1,LOW CONF,0.5514
49,1.692,0,0.00,0,0.0000,0.0000,0,18,0,-1,LOW CONF,0.5514
50,1.727,0,0.00,0,0.0000,0.0000,0,18,0,-1,LOW CONF,0.5514
51,1.762,0,0.00,0,0.0000,0.0000,0,18,0,-1,LOW CONF,0.5514
52,1.796,0,0.00,0,0.0000,0.0000,0,17,0,-1,LOW CONF,0.5514
